gfa fat x1 x2 x3 x4 z1 z2 z3
164 1   1  0  0  0  -3  1 -1
172 1   1  0  0  0  -3  1 -1
168 1   1  0  0  0  -3  1 -1
177 1   1  0  0  0  -3  1 -1
156 1   1  0  0  0  -3  1 -1
195 1   1  0  0  0  -3  1 -1
178 2   0  1  0  0  -1 -1  3
191 2   0  1  0  0  -1 -1  3
197 2   0  1  0  0  -1 -1  3
182 2   0  1  0  0  -1 -1  3
185 2   0  1  0  0  -1 -1  3
177 2   0  1  0  0  -1 -1  3
175 3   0  0  1  0   1 -1 -3
193 3   0  0  1  0   1 -1 -3
178 3   0  0  1  0   1 -1 -3
171 3   0  0  1  0   1 -1 -3
163 3   0  0  1  0   1 -1 -3
176 3   0  0  1  0   1 -1 -3
155 4   0  0  0  1   3  1  1
166 4   0  0  0  1   3  1  1
149 4   0  0  0  1   3  1  1
164 4   0  0  0  1   3  1  1
170 4   0  0  0  1   3  1  1
168 4   0  0  0  1   3  1  1
