trt,species,plot,square,seedling
T3,C,P1,1,15
T3,C,P1,2,13
T3,C,P1,3,14
T3,C,P1,4,16
T1,A,P2,1,10
T1,A,P2,2,8
T1,A,P2,3,17
T1,A,P2,4,22
T2,B,P3,1,11
T2,B,P3,2,6
T2,B,P3,3,7
T2,B,P3,4,10
T1,C,P4,1,10
T1,C,P4,2,11
T1,C,P4,3,12
T1,C,P4,4,18
T4,D,P5,1,18
T4,D,P5,2,18
T4,D,P5,3,17
T4,D,P5,4,16
T4,D,P6,1,17
T4,D,P6,2,17
T4,D,P6,3,18
T4,D,P6,4,21
T3,C,P7,1,5
T3,C,P7,2,12
T3,C,P7,3,7
T3,C,P7,4,10
T4,D,P8,1,15
T4,D,P8,2,18
T4,D,P8,3,20
T4,D,P8,4,20
T3,C,P9,1,6
T3,C,P9,2,3
T3,C,P9,3,3
T3,C,P9,4,4
T3,C,P10,1,6
T3,C,P10,2,7
T3,C,P10,3,7
T3,C,P10,4,6
T3,C,P11,1,10
T3,C,P11,2,3
T3,C,P11,3,4
T3,C,P11,4,4
T2,B,P12,1,7
T2,B,P12,2,10
T2,B,P12,3,8
T2,B,P12,4,8
T1,A,P13,1,10
T1,A,P13,2,12
T1,A,P13,3,14
T1,A,P13,4,8
T1,A,P14,1,6
T1,A,P14,2,6
T1,A,P14,3,12
T1,A,P14,4,5
T2,B,P15,1,6
T2,B,P15,2,10
T2,B,P15,3,6
T2,B,P15,4,8
T2,B,P16,1,11
T2,B,P16,2,12
T2,B,P16,3,8
T2,B,P16,4,10
T2,B,P17,1,0
T2,B,P17,2,5
T2,B,P17,3,3
T2,B,P17,4,4
T4,D,P18,1,20
T4,D,P18,2,19
T4,D,P18,3,17
T4,D,P18,4,18
T4,D,P19,1,15
T4,D,P19,2,17
T4,D,P19,3,10
T4,D,P19,4,8
T1,A,P20,1,10
T1,A,P20,2,11
T1,A,P20,3,6
T1,A,P20,4,9
